Title,Type,Release Year,Platform,Genre,Creator/Director,Main Cast,IMDb,RT Score,Awards & Noms,Seasons,Short Synopsis,Viewership/Views,Popularity Indicator
Game of Thrones (S5),TV,2015,HBO,Fantasy,"David Benioff, D.B. Weiss","Kit Harington, Emilia Clarke, Peter Dinklage",9.2,93%,12 Emmy Wins ,8,Families battle for control of the Iron Throne.,20.2M avg ,Extreme
Veep (S4),TV,2015,HBO,Political Comedy,Armando Iannucci,"Julia Louis-Dreyfus, Tony Hale",8.7,100%,Emmy Best Comedy ,7,Selina Meyer navigates the Vice Presidency.,4.5M avg ,High
Silicon Valley (S2),TV,2015,HBO,Comedy,Mike Judge,"Thomas Middleditch, Kumail Nanjiani",8.5,96%,5 Emmy Noms ,6,Tech start-up struggles in California.,5.3M avg ,High
Ballers (S1),TV,2015,HBO,Sports Dramedy,Stephen Levinson,"Dwayne Johnson, John David Washington",7.6,81%,1 Emmy Nom ,5,Retired NFL star becomes a financial manager.,8.8M avg ,High
The Leftovers (S2),TV,2015,HBO,Supernatural Drama,Damon Lindelof,"Justin Theroux, Carrie Coon",8.3,94%,Critics' Choice Win ,3,Dealing with a global disappearance event.,1.3M avg ,Cult Favorite
Bessie,Movie,2015,HBO,Biography,Dee Rees,"Queen Latifah, Michael K. Williams",6.6,90%,4 Emmy Wins ,1,Life of blues singer Bessie Smith.,2.4M viewers ,Moderate
Togetherness (S1),TV,2015,HBO,Dramedy,Duplass Brothers,"Mark Duplass, Melanie Lynskey",7.5,93%,1 Emmy Nom ,2,Two couples living under one roof.,1.1M avg ,Moderate
Getting On (S3),TV,2015,HBO,Dark Comedy,Mark V. Olsen,"Laurie Metcalf, Niecy Nash",7.7,91%,2 Emmy Noms ,3,Daily lives of staff in a geriatric wing.,0.8M avg ,Moderate
The Brink (S1),TV,2015,HBO,Satire,Roberto Benabib,"Jack Black, Tim Robbins",7.1,55%,1 Emmy Nom ,1,Geopolitical crisis in Pakistan.,1.2M avg ,Low
True Detective (S2),TV,2015,HBO,Crime Drama,Nic Pizzolatto,"Colin Farrell, Rachel McAdams",7.9,61%,1 Emmy Nom ,4,Investigation into a corrupt city manager.,11.3M avg ,High
Nightingale,Movie,2015,HBO,Drama,Elliott Lester,David Oyelowo,6.3,82%,2 Emmy Noms ,1,Psychological descent of a war veteran.,1.1M viewers ,Low
Looking (S2),TV,2015,HBO,Drama,Michael Lannan,"Jonathan Groff, Murray Bartlett",8.2,88%,GLAAD Nom ,2,Gay friends navigate life in San Francisco.,0.9M avg ,Moderate
San Andreas,Movie,2015,HBO,Action,Brad Peyton,"Dwayne Johnson, Carla Gugino",6.1,48%,Teen Choice Nom ,1,Rescue mission during a major earthquake.,5.5M (Rental) ,High
Mad Max: Fury Road,Movie,2015,HBO,Action/Sci-Fi,George Miller,"Tom Hardy, Charlize Theron",8.1,97%,6 Oscar Wins ,1,Escape from a wasteland tyrant.,7.8M (Platform) ,Extreme
Last Week Tonight,TV,2015,HBO,Talk/News,John Oliver,John Oliver,8.9,94%,1 Emmy Win ,13,Satirical look at news and politics.,4.1M avg ,High
Real Time,TV,2015,HBO,Talk/Variety,Bill Maher,Bill Maher,7.4,78%,Emmy Nom ,24,Political talk show with a panel.,4.0M avg ,High
Hard Knocks,TV,2015,HBO,Documentary,NFL Films,Houston Texans,8.4,,Sports Emmy Win ,26,Training camp with an NFL team.,3.5M avg ,High
Doll & Em (S2),TV,2015,HBO,Comedy,Emily Mortimer,"Emily Mortimer, Dolly Wells",7.1,85%,British Comedy Nom ,2,Best friends navigate Hollywood fame.,0.5M avg ,Low
Vice,TV,2015,HBO,Docuseries,Shane Smith,Various Journalists,8.1,,Emmy Win ,8,Investigative reports on global issues.,2.0M avg ,Moderate
Project Greenlight,TV,2015,HBO,Reality,Matt Damon,Jason Mann,7.4,,Emmy Nom ,4,Documentary on making a first film.,1.5M avg ,Moderate
Westworld (S1),TV,2016,HBO,Sci-Fi/Western,Jonathan Nolan,"Evan Rachel Wood, Anthony Hopkins",8.5,87%,22 Emmy Noms ,4,Androids in a theme park gain consciousness.,12M total ep ,Very High
The Night Of,Miniseries,2016,HBO,Crime Drama,Steven Zaillian,"Riz Ahmed, John Turturro",8.4,94%,5 Emmy Wins ,1,A man wakes up to find a woman murdered.,7.1M total ,High
Insecure (S1),TV,2016,HBO,Comedy,Issa Rae,"Issa Rae, Yvonne Orji",8.1,100%,1 Emmy Win ,5,Modern black woman experiences in LA.,3.2M avg ,High
Vice Principals (S1),TV,2016,HBO,Dark Comedy,Danny McBride,"Danny McBride, Walton Goggins",8,78%,1 Emmy Nom ,2,Rivals team up to take down a principal.,4.8M avg ,Moderate
The Young Pope,TV,2016,HBO,Drama,Paolo Sorrentino,"Jude Law, Diane Keaton",8.1,83%,2 Emmy Noms ,1,A young American becomes the Pope.,4.5M avg ,Moderate
High Maintenance (S1),TV,2016,HBO,Anthology,Ben Sinclair,Ben Sinclair,8,98%,WGA Nom ,4,A weed dealer interacts with NYC clients.,1.8M avg ,Cult Favorite
Divorce (S1),TV,2016,HBO,Comedy,Sharon Horgan,Sarah Jessica Parker,6.8,63%,Golden Globe Nom ,3,A couple negotiates a long divorce.,4.1M avg ,Moderate
Vinyl (S1),TV,2016,HBO,Period Drama,Martin Scorsese,"Bobby Cannavale, Olivia Wilde",7.7,77%,2 Emmy Noms ,1,1970s New York music scene.,3.8M avg ,Moderate
All the Way,Movie,2016,HBO,Biography,Jay Roach,"Bryan Cranston, Anthony Mackie",7.3,87%,8 Emmy Noms ,1,LBJ's first year as US President.,2.1M viewers ,Moderate
Confirmation,Movie,2016,HBO,Drama,Rick Famuyiwa,Kerry Washington,6.7,84%,2 Emmy Noms ,1,Clarence Thomas Supreme Court hearings.,2.5M viewers ,Moderate
Game of Thrones (S6),TV,2016,HBO,Fantasy,"David Benioff, D.B. Weiss","Kit Harington, Emilia Clarke, Peter Dinklage",9.2,94%,12 Emmy Wins ,8,The battle for the North commences.,25.1M avg ,Extreme
Veep (S5),TV,2016,HBO,Comedy,David Mandel,Julia Louis-Dreyfus,8.7,94%,Emmy Comedy Win,7,A presidential recount hangs in the balance.,4.8M avg ,High
Silicon Valley (S3),TV,2016,HBO,Comedy,Mike Judge,Thomas Middleditch,8.5,100%,11 Emmy Noms ,6,Pied Piper faces corporate takeover.,5.8M avg ,High
Girls (S5),TV,2016,HBO,Comedy,Lena Dunham,"Lena Dunham, Allison Williams",7.4,88%,Emmy Win ,6,Friends in their 20s drift apart.,2.4M avg ,High
Ballers (S2),TV,2016,HBO,Sports Dramedy,Stephen Levinson,Dwayne Johnson,7.6,70%,People's Choice Nom ,5,Spencer expands his business to Miami.,9.1M avg ,High
Last Week Tonight,TV,2016,HBO,Talk/News,John Oliver,John Oliver,8.9,100%,3 Emmy Wins ,13,Deep dives into social issues.,4.5M avg ,High
